Genus,LM,TD,TI,TP,LL,WD,WI,LI
Hemiauchenia,49.93,24.25,28.58,24.78,56.19,34.66,36.9,42.79
Hemiauchenia,51.19,22.63,30.42,24.75,54.61,39.59,41.85,43.96
Hemiauchenia,50.77,23.59,25.09,,55.06,38.64,38.82,41.46
Hemiauchenia,48.4,22.07,25.01,21.27,52.9,34.88,36.09,40.17
Hemiauchenia,48.03,25.52,30.32,24.43,52.41,34.19,39.41,39.06
Hemiauchenia,47.81,22.53,28.94,22.87,51.25,35.28,32.9,39.61
,74.55,31.74,41.52,34.24,,54.18,54.27,60.98
,71.47,33.46,42.05,35.27,82.2,56.86,59.81,60.01
,39.57,19.55,22.66,20.1,46.06,28.3,29.41,34.08
,49.65,23.18,27.84,23.02,54.71,35.68,36.72,40.36
,70.7,25.73,35.82,,,49.12,50.46,58.78
,72.03,30.12,36.96,33.58,77.35,52.98,54.72,60.94
,67.03,32.77,38.78,31.71,72.88,50.22,53.54,57.54
,71.74,28.46,39.28,33.75,80.11,50.63,56.26,60.82
,91.06,40.33,52.4,43.42,103.73,68.1,77.84,76.49
,90.54,,49.21,,,66.78,63.99,75.92
,83.17,,40.54,31.95,89.91,,64.42,72.54
,67.24,28.93,40.12,33.35,76.1,53.96,50.04,58.92
,71.56,31.46,41.09,32.23,75.6,53.33,52.88,56.51
,49,22.96,26.49,19.72,53.99,33.98,35.5,39.47
,64.7,28.86,37.54,31.33,72.23,47.93,56.44,55.66
,48.6,23.33,26.16,23.35,53.28,33.62,34.5,41.21
,47.56,,23.48,,52.39,31.9,,38.85
,53.5,25.27,29.4,25.1,59.71,41.4,38.48,43.97
,43.97,20.97,24.96,19.68,49.04,33.37,34.85,37.33
,44.47,21.3,24.87,21.63,49.47,31.75,33.57,36.71
,43.3,20.74,23.29,20.16,48.12,30.32,31.45,35.84
,,18.96,21.46,,47.71,30.59,30.05,35.48
,51.37,24.26,28.38,25.48,57.59,37.1,39.12,42.3
,54.5,24.3,29.19,25.55,61.77,40.11,39.26,45.01
,55.1,24.08,30.37,26.44,61.5,34.39,40.37,46.61
,48.98,21.02,26.12,21.04,55.15,34.55,32.73,40.91
,49.02,22.91,29,24.49,55.89,37.85,35.34,39.47
,48.44,21.14,26.25,22.99,52.55,32.83,34.46,40.12
,68.65,32.58,36.16,30.51,74.46,50.68,55.78,57.89
,53.1,,,,56.82,38.15,36.8,43.66
,,24.54,29.52,,,,,
,52.1,,,,,,,41.62
,,,,,,,,45.35
,49.34,23.85,26.17,20.65,52.26,36.1,37.49,40.89
,48.24,21.72,26.86,20.43,,34.73,35.55,40.14
,,24.06,27.9,,,,38.93,47.95
,68.2,,,,,,,56.36
,,,,34.78,,,,
,42.5,19.8,22.85,,,,29.57,35.41
,,,28.31,,,,,42.84
,48.6,,,,,,,40.43
,69.21,,36.03,34.46,,,51.75,
,45.27,20.39,24.83,19.85,52.43,31.54,32.38,37.6
,46.53,20.72,24.27,21.67,50.84,31.61,33.25,37.69
,70.43,31.22,39.92,34.77,,,58.38,60.74
,,,34.98,28.79,69.84,,,51.43
,73.03,30.09,36.88,32.92,,48.6,48.67,60.73
,,26.42,32.06,,,,,48.04
,,,,30.01,,,,
,58.89,26.9,31.86,28.38,66.08,43.4,45.37,48.71
,64.89,27.76,35.48,31.59,70.33,49.33,50.82,52.87
,58.53,,,27.45,64.11,42.93,44.28,48.65
,,,36.42,,73.51,47.24,48.92,58.29
,54,23.4,28.27,24.26,60.24,39.27,40.21,45.03
,73.69,29.27,39.48,29.08,79.5,50.71,56.82,60.86
,,22.39,28.47,24.17,52.44,,,41.32
,48.39,22.89,25.9,23.58,51.87,35.19,36.11,40.42
,43.79,,,,,,,35.66
,89.52,,,35.89,,,,75.62
